Sample_number,Sample_name,Treatment_label,,Evolved_with/without_community,Preadaptation population,Fitness(W),Biolog_Variance,Density_(CFU/ml),Density_(CFU/g)
31,A,4_Related_Clones,,With_Community,WT-B1,2.318351031,,64000,384000
21,ANC+1,Lac-z_Ancestor,,,,,,42800,256800
90,ANC+2,Lac-z_Ancestor,,,,,,17200,103200
28,ANC+3,Lac-z_Ancestor,,,,,,128000,768000
93,ANC+4,Lac-z_Ancestor,,,,,,17200,103200
92,ANC+5,Lac-z_Ancestor,,,,,,17600,105600
91,ANC+6,Lac-z_Ancestor,,,,,,480000,2880000
98,ANC-1,WT_Ancestor,,,,,,440000,2640000
82,ANC-2,WT_Ancestor,,,,,,5040000,30240000
76,ANC-3,WT_Ancestor,,,,,,3560000,21360000
32,ANC-4,WT_Ancestor,,,,,,1760000,10560000
88,ANC-5,WT_Ancestor,,,,,,1396000,8376000
40,ANC-6,WT_Ancestor,,,,,,260000,1560000
68,B,4_Related_Clones,,With_Community,WT-B2,0.473539977,,312000,1872000
45,C,4_Related_Clones,,With_Community,WT-B3,0.589607145,,304000,1824000
15,CTRL1,Negative_Control,,,,,,0,0
13,CTRL2,Negative_Control,,,,,,0,0
16,CTRL3,Negative_Control,,,,,,0,0
25,CTRL4,Negative_Control,,,,,,0,0
73,CTRL5,Negative_Control,,,,,,0,0
99,CTRL6,Negative_Control,,,,,,0,0
102,D,4_Related_Clones,,With_Community,WT-B4,2.295189802,,216000,1296000
46,E,4_Related_Clones,,With_Community,WT-B5,0.532263375,,6000,36000
3,G,4_Related_Clones,,Without_Community,WT-1,0.639690606,,508000,3048000
48,H,4_Related_Clones,,Without_Community,WT-2,0.746013644,,308000,1848000
74,I,4_Related_Clones,,Without_Community,WT-3,2.328587233,,424000,2544000
49,J,4_Related_Clones,,Without_Community,WT-4,2.085738803,,164000,984000
50,K,4_Related_Clones,,Without_Community,WT-5,1.258147045,,228000,1368000
1,L,4_Related_Clones,,Without_Community,WT-6,0.279192075,,108000,648000
71,MA,4_Unrelated_Clones,,,,,,88000,528000
51,MB,4_Unrelated_Clones,,,,,,260000,1560000
70,MC,4_Unrelated_Clones,,,,,,256000,1536000
52,MD,4_Unrelated_Clones,,,,,,304000,1824000
55,ME,4_Unrelated_Clones,,,,,,264000,1584000
56,MF,4_Unrelated_Clones,,,,,,472000,2832000
97,MG,4_Unrelated_Clones,,,,,,488000,2928000
6,MH,4_Unrelated_Clones,,,,,,624000,3744000
79,MI,4_Unrelated_Clones,,,,,,208000,1248000
53,MJ,4_Unrelated_Clones,,,,,,112000,672000
14,MK,4_Unrelated_Clones,,,,,,560000,3360000
54,ML,4_Unrelated_Clones,,,,,,272000,1632000
26,NMC+1,Evolved_With_Community,,With_Community,,,,100000,600000
17,NMC+2,Evolved_With_Community,,With_Community,,,,2608000,15648000
29,NMC+3,Evolved_With_Community,,With_Community,,,,72000,432000
18,NMC+4,Evolved_With_Community,,With_Community,,,,68000,408000
81,NMC+5,Evolved_With_Community,,With_Community,,,,20400,122400
19,NMC+6,Evolved_With_Community,,With_Community,,,,1140000,6840000
11,NMC-1,Evolved_Without_Community,,Without_Community,,,,1000000,6000000
12,NMC-2,Evolved_Without_Community,,Without_Community,,,,1160000,6960000
27,NMC-3,Evolved_Without_Community,,Without_Community,,,,1040000,6240000
100,NMC-4,Evolved_Without_Community,,Without_Community,,,,400000,2400000
75,NMC-5,Evolved_Without_Community,,Without_Community,,,,680000,4080000
89,NMC-6,Evolved_Without_Community,,Without_Community,,,,40000,240000
30,T0,NMC_T0,,,,,,,
